candidate,dt_ns,source_mV,split,outside_domain,measured_legacy_detected,measured_legacy_frequency_MHz,measured_late_frequency_MHz,measured_late_peak_frequency_MHz,measured_late_peak_period_cv,measured_late_mean_mV,measured_late_vpp_mV,measured_late_robust_vpp_mV,measured_late_periodic_vpp_mV,measured_late_coherence,measured_minimum_window_periodic_vpp_mV,measured_amplitude_retention,measured_sustained,predicted_legacy_detected,predicted_legacy_frequency_MHz,predicted_late_frequency_MHz,predicted_late_peak_frequency_MHz,predicted_late_peak_period_cv,predicted_late_mean_mV,predicted_late_vpp_mV,predicted_late_robust_vpp_mV,predicted_late_periodic_vpp_mV,predicted_late_coherence,predicted_minimum_window_periodic_vpp_mV,predicted_amplitude_retention,predicted_sustained,feature_loss
frozen,0.025,50.0,validation,False,False,,16.59288819174028,,,88.47603910891087,4.506659999999982,3.4399999999999977,2.184103007371274,0.6691407284022073,0.7776928352686754,0.8665210934158273,False,False,,19.87736418119268,,,95.71765993916397,2.9312577239928572,2.5889661346690502,0.24913405616438136,0.01193039397779061,0.21021900675665742,0.8572532318226386,False,0.4383703388544531
frozen,0.025,100.0,train,False,False,,21.226003790039126,,,171.14296732673267,6.653399999999976,5.14670000000001,4.090358672546572,0.8901813973975933,0.9150656917441401,1.7451000792986253,False,False,,46.17775337358479,,,178.4656957815937,3.0550367993427585,2.4762054930198474,0.23432478326472686,0.009887240819520193,0.23457328511664083,1.1194348472186633,False,1.286761299402789
frozen,0.025,150.0,validation,False,False,,17.027854461752234,,,240.26243993069306,4.719999999999999,4.066599999999994,2.4065785784750178,0.48714844380656364,2.324111649678154,1.797314945514776,False,False,,32.64105369799169,,,243.11710932737742,1.8964216092740003,1.5535096525816812,0.28070389596523326,0.0392699126611199,0.1275794120961974,0.5185911835773939,False,1.2134056909586086
frozen,0.025,200.0,validation,False,False,,14.121006797082291,,,298.0920165049505,4.706700000000012,3.853400000000022,1.687863099515576,0.3631280196148142,0.7070865646397237,0.590863478684687,False,False,,21.197357632630222,,,290.8515766796621,2.413066925238013,1.9225237566084843,0.5314181684866398,0.08536749792019738,0.028219586471993952,0.6924247567794537,False,1.536882262352051
frozen,0.025,250.0,train,False,False,,13.909729776249218,,,319.4747234356435,3.213300000000004,2.3466999999999985,1.3934696545783074,0.43757227699848544,0.8715493461067155,0.22853602355318778,False,False,,46.413316739214224,,,319.3081729514002,2.5955027159884025,2.1563718024015657,0.17563815072536765,0.008164983820773797,0.02381942479292593,0.40523153058695754,False,3.151246755269256
frozen,0.025,300.0,train,False,True,41.666666666666664,41.17354716074733,41.666666666666664,0.019372788525658838,232.71287096039606,94.32,91.11999999999998,91.62934044189902,0.9973613379044338,85.70107620440322,1.0964264844510925,True,False,,26.834267097827954,,,314.8393087786632,2.5037066451885153,2.1389723745650144,0.39466996135832366,0.04439860395748474,0.13550004383685407,0.7297128253600136,False,77.7263602330432
frozen,0.025,350.0,train,False,True,41.666666666666664,42.59623808525568,43.47826086956522,0.020203050891044214,189.93848151485153,103.75999999999999,100.32,101.37800303546058,0.9992535093816439,99.01077989235284,0.8631305790098773,True,False,,41.652868605788434,,,292.1893788699868,2.3131071426160474,1.8908085709797433,0.16205815579800278,0.008696391051139174,0.11208463366979124,0.7832182798664321,False,95.2968990071976
frozen,0.025,400.0,validation,False,True,45.45454545454545,45.78749745855536,45.45454545454545,0.0,187.98507821782175,82.5333,79.10669999999999,79.67126040317783,0.999171608496318,79.51329549565885,0.9392545502728201,True,False,,18.844459779413455,,,267.7164722427991,1.8130201066719565,1.4877653959417785,0.19713533614264878,0.018849309750681553,0.11482921004873811,0.7795555155209216,False,78.47532432671966
frozen,0.025,450.0,validation,False,True,50.0,48.92619450465454,50.0,0.021383343303319473,186.01927557425745,61.746700000000004,58.733299999999986,59.13906117380684,0.997776131632384,58.781232719878886,0.9440362412932626,True,False,,10.000003498264658,,,245.0211990879346,1.6677793552034927,1.385242894933981,0.11607468539080985,0.006838447160177452,0.29691224019914614,0.7556995313750499,False,62.20251670623984
frozen,0.025,500.0,train,False,True,52.63157894736842,51.495607711371065,51.282051282051285,0.02564102564102564,186.25742574257427,46.52000000000001,44.373399999999975,45.29791292626471,0.9988201902291101,45.34319193015342,0.8835421679522869,True,False,,12.244591927605283,,,225.04158918623443,1.309570602392938,1.101478070398855,0.10920794979473132,0.008111132868620308,0.1005719206464365,0.5369222825857828,False,54.635734491973324
frozen,0.025,550.0,validation,False,True,52.63157894736842,53.6089491692211,54.054054054054056,0.02702702702702703,185.11551221455443,37.293300000000016,34.51999999999998,35.18410234898925,0.9954051704281021,35.056765659189,0.9306635634943242,True,False,,18.818565488932023,,,207.8258404259484,1.7505199800905302,1.525434540396617,0.06675460934046643,0.001895492216961503,0.029720142482976376,0.7978449912295232,False,48.509503885623374
frozen,0.025,600.0,validation,False,True,55.55555555555556,55.75060542649025,55.55555555555556,0.03928371006591931,186.12897561089108,28.293299999999988,25.72,26.314903057035917,0.9904797389307746,26.32945985427494,0.8935844941062119,True,False,,21.209753418955536,,,193.74408495292096,0.8979888793212183,0.7853045887326005,0.07042305007342518,0.006359649777246124,0.07226702063785484,0.41548679393384946,False,43.65247787901957
frozen,0.025,650.0,train,False,True,58.8235294117647,57.816988117809586,58.8235294117647,0.028155054514749176,184.09623894059408,21.226699999999994,19.079999999999984,18.960364167404826,0.9819604662361988,18.871919643331037,0.8980715178338963,True,False,,15.366804173360002,,,181.27800567993287,1.2000644456241787,0.9406051521106349,0.07105643910938836,0.0065378097282488,0.06599697180895221,0.6772898595942423,False,38.157430590520526
frozen,0.025,700.0,validation,False,True,58.8235294117647,59.54885392572425,58.8235294117647,0.025851504590580256,181.7120795346535,17.586600000000004,13.933400000000006,13.73426576294101,0.957064813754709,13.400827320726998,0.747723863660392,True,False,,10.000003996439151,,,170.3662313036016,1.1656002117959474,1.0427396263971218,0.07223466018423774,0.0029649722760795028,0.11726007106051063,0.6576319281401042,False,33.24281484450404
